HGNC ID	Approved symbol	Approved name	Alias symbols	Alias names
HGNC:49344	HSPE1P25	heat shock protein family E (Hsp10) member 1 pseudogene 25		
HGNC:49345	HSPE1P26	heat shock protein family E (Hsp10) member 1 pseudogene 26		
HGNC:49346	HSPE1P27	heat shock protein family E (Hsp10) member 1 pseudogene 27		
HGNC:49347	HSPE1P28	heat shock protein family E (Hsp10) member 1 pseudogene 28		
HGNC:5273	HSPG2	heparan sulfate proteoglycan 2	perlecan, PRCAN	perlecan proteoglycan, endorepellin
HGNC:16969	HSPH1	heat shock protein family H (Hsp110) member 1	HSP105B, KIAA0201, HSP105A, NY-CO-25	
HGNC:16637	HTATIP2	HIV-1 Tat interactive protein 2	TIP30, CC3, FLJ26963, SDR44U1	Tat-interacting protein (30kD), short chain dehydrogenase/reductase family 44U, member 1
HGNC:5276	HTATSF1	HIV-1 Tat specific factor 1	TAT-SF1	
HGNC:13959	HTATSF1P1	HIV-1 Tat specific factor 1 pseudogene 1	TAT-SF1-L, dJ1033B10.6	
HGNC:38586	HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2		
HGNC:53111	HTD2	hydroxyacyl-thioester dehydratase type 2		
HGNC:5283	HTN1	histatin 1	HIS1	
HGNC:5284	HTN3	histatin 3	HIS2	
HGNC:5285	HTOR	5-hydroxytryptamine (serotonin) oxygenase regulator		
HGNC:5286	HTR1A	5-hydroxytryptamine receptor 1A	5-HT1A	
HGNC:5287	HTR1B	5-hydroxytryptamine receptor 1B	S12, 5-HT1B, HTR1D2, 5-HT1DB	
HGNC:5289	HTR1D	5-hydroxytryptamine receptor 1D	RDC4, HT1DA, 5-HT1D	
HGNC:5290	HTR1DP1	5-hydroxytryptamine receptor 1D pseudogene 1		
HGNC:5291	HTR1E	5-hydroxytryptamine receptor 1E	5-HT1E	
HGNC:5292	HTR1F	5-hydroxytryptamine receptor 1F	HTR1EL, 5-HT1F	
HGNC:5293	HTR2A	5-hydroxytryptamine receptor 2A	5-HT2A	
HGNC:40289	HTR2A-AS1	HTR2A antisense RNA 1		
HGNC:5294	HTR2B	5-hydroxytryptamine receptor 2B	5-HT(2B), 5-HT2B	
HGNC:5295	HTR2C	5-hydroxytryptamine receptor 2C	5-HT2C, 5HTR2C	
HGNC:5297	HTR3A	5-hydroxytryptamine receptor 3A	5-HT3R, 5-HT3A	
HGNC:5298	HTR3B	5-hydroxytryptamine receptor 3B	5-HT3B	
HGNC:24003	HTR3C	5-hydroxytryptamine receptor 3C		
HGNC:53986	HTR3C2P	5-hydroxytryptamine receptor 3C2, pseudogene	5-HT3C2	
HGNC:24004	HTR3D	5-hydroxytryptamine receptor 3D		
HGNC:24005	HTR3E	5-hydroxytryptamine receptor 3E		
HGNC:41032	HTR3E-AS1	HTR3E antisense RNA 1		
HGNC:5299	HTR4	5-hydroxytryptamine receptor 4	5-HT4	
HGNC:5300	HTR5A	5-hydroxytryptamine receptor 5A	5-HT5A	
HGNC:48956	HTR5A-AS1	HTR5A antisense RNA 1		
HGNC:16291	HTR5BP	5-hydroxytryptamine receptor 5B, pseudogene	5-HT5B	
HGNC:5301	HTR6	5-hydroxytryptamine receptor 6	5-HT6, 5-HT6R	
HGNC:5302	HTR7	5-hydroxytryptamine receptor 7	5-HT7	
HGNC:30411	HTR7P1	5-hydroxytryptamine receptor 7 pseudogene 1		
HGNC:9476	HTRA1	HtrA serine peptidase 1	HtrA, IGFBP5-protease, ARMD7	
HGNC:14348	HTRA2	HtrA serine peptidase 2	OMI, PARK13	
HGNC:30406	HTRA3	HtrA serine peptidase 3	Tasp, Prsp	pregnancy-related serine protease
HGNC:26909	HTRA4	HtrA serine peptidase 4	FLJ90724	
HGNC:4851	HTT	huntingtin	IT15	
HGNC:37118	HTT-AS	HTT antisense RNA	HTTAS	
HGNC:34232	HULC	hepatocellular carcinoma up-regulated long non-coding RNA	NCRNA00078, LINC00078, HCCAT1	non-protein coding RNA 78, long intergenic non-protein coding RNA 78, hepatocellular carcinoma associated transcript 1 (non-protein coding)
HGNC:13326	HUNK	hormonally up-regulated Neu-associated kinase		
HGNC:40631	HUNK-AS1	HUNK antisense RNA 1	TCONS_00028914	
HGNC:5309	HUS1	HUS1 checkpoint clamp component		hus1+-like protein
HGNC:16485	HUS1B	HUS1 checkpoint clamp component B		
HGNC:30892	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	Ib772, KIAA0312, UREB1	
HGNC:5314	HVBS7	hepatitis B virus integration site 7		
HGNC:5315	HVBS8	hepatitis B virus integration site 8		
HGNC:28240	HVCN1	hydrogen voltage gated channel 1	MGC15619, Hv1, VSOP	voltage sensor domain-only protein
HGNC:5320	HYAL1	hyaluronidase 1	LUCA1, HYAL-1	
HGNC:5321	HYAL2	hyaluronidase 2	LuCa-2, LUCA2	lysosomal hyaluronidase, PH-20 homolog
HGNC:5322	HYAL3	hyaluronidase 3	LUCA-3, LUCA14, Minna14	
HGNC:5323	HYAL4	hyaluronidase 4		
HGNC:5324	HYAL6P	hyaluronidase 6, pseudogene	HYAL6	hyaluronidase 6
HGNC:19368	HYDIN	HYDIN axonemal central pair apparatus protein	DKFZp434D0513, KIAA1864, PPP1R31, CILD5	protein phosphatase 1, regulatory subunit 31
HGNC:33129	HYDIN2	HYDIN axonemal central pair apparatus protein 2 (pseudogene)		
HGNC:26948	HYI	hydroxypyruvate isomerase (putative)	HT036	
HGNC:41173	HYI-AS1	HYI antisense RNA 1		
HGNC:34403	HYKK	hydroxylysine kinase	LOC123688	5-hydroxylysine kinase
HGNC:26558	HYLS1	HYLS1 centriolar and ciliogenesis associated	FLJ32915	
HGNC:5326	HYMAI	hydatidiform mole associated and imprinted	NCRNA00020	non-protein coding RNA 20
HGNC:16931	HYOU1	hypoxia up-regulated 1	ORP150, HSP12A, Grp170	glucose-regulated protein 170
HGNC:18418	HYPK	huntingtin interacting protein K	HSPC136, FLJ20431	Huntingtin yeast partner K
HGNC:27696	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)		
HGNC:5329	IAPP	islet amyloid polypeptide	AMYLIN, DAP, IAP	amylin
HGNC:5330	IARS1	isoleucyl-tRNA synthetase 1	ILRS	isoleucine tRNA ligase 1, cytoplasmic
HGNC:29685	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	FLJ10326	isoleucine tRNA ligase 2, mitochondrial
HGNC:50474	IARS2P1	IARS2 pseudogene 1		
HGNC:53719	IATPR	ITGB1 adjacent tumor promoting lncRNA	TCONS_00018476, linc-ITGB1	
HGNC:27302	IBA57	iron-sulfur cluster assembly factor IBA57	FLJ12734	iron-sulfur cluster assembly factor for biotin synthase- and aconitase-like mitochondrial proteins, with a mass of 57kDa
HGNC:32062	IBA57-DT	IBA57 divergent transcript	FLJ32878	
HGNC:5341	IBSP	integrin binding sialoprotein	BSP, SP-II, BSP-II	bone sialoprotein, bone sialoprotein II
HGNC:17853	IBTK	inhibitor of Bruton tyrosine kinase	DKFZP564B116, BTBD26	
HGNC:31672	IBTKP1	inhibitor of Bruton tyrosine kinase pseudogene 1		
HGNC:5343	ICA1	islet cell autoantigen 1	ICAp69, ICA69	
HGNC:55606	ICA1-AS1	ICA1 antisense RNA 1		
HGNC:14442	ICA1L	islet cell autoantigen 1 like		
HGNC:5344	ICAM1	intercellular adhesion molecule 1	BB2, CD54	human rhinovirus receptor
HGNC:5345	ICAM2	intercellular adhesion molecule 2	CD102	
HGNC:5346	ICAM3	intercellular adhesion molecule 3	CDW50, ICAM-R, CD50	
HGNC:5347	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	CD242	
HGNC:55990	ICAM4-AS1	ICAM4 antisense RNA 1	LncRNA-ECM	
HGNC:5348	ICAM5	intercellular adhesion molecule 5	TLN	telencephalin
HGNC:29154	ICE1	interactor of little elongation complex ELL subunit 1		
HGNC:29885	ICE2	interactor of little elongation complex ELL subunit 2	FLJ11896, BRCC1	breast cancer cell 1
HGNC:48856	ICE2P1	interactor of little elongation complex ELL subunit 2 pseudogene 1		
HGNC:48857	ICE2P2	interactor of little elongation complex ELL subunit 2 pseudogene 2		
HGNC:5350	ICMT	isoprenylcysteine carboxyl methyltransferase	PCCMT, HSTE14, PPMT	protein-S-isoprenylcysteine O-methyltransferase
HGNC:28620	ICMT-DT	ICMT divergent transcript	MGC40168	
HGNC:5351	ICOS	inducible T cell costimulator	AILIM, CD278	activation-inducible lymphocyte immunomediatory molecule
HGNC:17087	ICOSLG	inducible T cell costimulator ligand	KIAA0653, GL50, B7-H2, B7RP-1, B7H2, B7RP1, ICOS-L, CD275, B7h	B7-related protein 1, B7 homologue 2, B7 homolog 2
HGNC:5360	ID1	inhibitor of DNA binding 1, HLH protein	dJ857M17.1.2, bHLHb24	DNA-binding protein inhibitor ID-1, inhibitor of differentiation 1
HGNC:5361	ID2	inhibitor of DNA binding 2	GIG8, bHLHb26	cell growth-inhibiting gene 8
HGNC:51103	ID2-AS1	ID2 antisense RNA 1		
HGNC:30656	ID2B	inhibitor of DNA binding 2B, HLH protein (pseudogene)		inhibitor of differentiation 2B
HGNC:5362	ID3	inhibitor of DNA binding 3, HLH protein	HEIR-1, bHLHb25	inhibitor of differentiation 3
HGNC:5363	ID4	inhibitor of DNA binding 4, HLH protein	bHLHb27	inhibitor of differentiation 4
HGNC:5381	IDE	insulin degrading enzyme		insulysin
HGNC:5382	IDH1	isocitrate dehydrogenase (NADP(+)) 1		
HGNC:40292	IDH1-AS1	IDH1 antisense RNA 1		
HGNC:5383	IDH2	isocitrate dehydrogenase (NADP(+)) 2		
HGNC:53154	IDH2-DT	IDH2 divergent transcript		
HGNC:5384	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha		H-IDH alpha, isocitric dehydrogenase, isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial, NAD+-specific ICDH, NAD(H)-specific isocitrate dehydrogenase alpha subunit, isocitrate dehydrogenase (NAD+) alpha chain
HGNC:5385	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta	RP46	
HGNC:55798	IDH3B-DT	IDH3B divergent transcript		
HGNC:5386	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma		
HGNC:5387	IDI1	isopentenyl-diphosphate delta isomerase 1		IPP isomerase
HGNC:54666	IDI1P1	IDI1 pseudogene 1		
HGNC:54667	IDI1P2	IDI1 pseudogene 2		
HGNC:54668	IDI1P3	IDI1 pseudogene 3		
HGNC:23487	IDI2	isopentenyl-diphosphate delta isomerase 2	IPPI2	
HGNC:30885	IDI2-AS1	IDI2 antisense RNA 1	HT009, Em:AC022536.4	
HGNC:31367	IDNK	IDNK gluconokinase	bA522I20.2, hGntK	
HGNC:6059	IDO1	indoleamine 2,3-dioxygenase 1		
HGNC:27269	IDO2	indoleamine 2,3-dioxygenase 2		
HGNC:5389	IDS	iduronate 2-sulfatase	ID2S	Hunter syndrome
HGNC:5390	IDSP1	iduronate 2-sulfatase pseudogene 1	IDS2	
HGNC:5391	IDUA	alpha-L-iduronidase	MPS1, MPSI	mucopolysaccharidosis type I
HGNC:28871	IER2	immediate early response 2	ETR101	
HGNC:5392	IER3	immediate early response 3	IEX-1, DIF-2, PRG1, IEX-1L	
HGNC:53629	IER3-AS1	IER3 antisense RNA 1		
HGNC:18550	IER3IP1	immediate early response 3 interacting protein 1		
HGNC:5393	IER5	immediate early response 5		
HGNC:23679	IER5L	immediate early response 5 like	bA247A12.2	
HGNC:55825	IER5L-AS1	IER5L antisense RNA 1		
HGNC:24970	IFFO1	intermediate filament family orphan 1	HOM-TES-103	
HGNC:27006	IFFO2	intermediate filament family orphan 2		
HGNC:4054	IFI6	interferon alpha inducible protein 6	IFI616, FAM14C, 6-16, IFI-6-16	
HGNC:5395	IFI16	interferon gamma inducible protein 16	IFNGIP1, PYHIN2	
HGNC:5397	IFI27	interferon alpha inducible protein 27	P27, FAM14D, ISG12	
HGNC:19754	IFI27L1	interferon alpha inducible protein 27 like 1		
HGNC:19753	IFI27L2	interferon alpha inducible protein 27 like 2	TLH29	
HGNC:5398	IFI30	IFI30 lysosomal thiol reductase	IFI-30, GILT, IP30, MGC32056, IP-30	gamma-interferon-inducible lysosomal thiol reductase, interferon gamma-inducible protein 30 preproprotein, legumaturain
HGNC:5399	IFI35	interferon induced protein 35	IFP35	
HGNC:16938	IFI44	interferon induced protein 44	MTAP44, p44, TLDC5	TBC/LysM-associated domain containing 5
HGNC:17817	IFI44L	interferon induced protein 44 like	GS3686, TLDC5B	
HGNC:18873	IFIH1	interferon induced with helicase C domain 1	MDA-5, Hlcd, MDA5, IDDM19	helicard, melanoma differentiation-associated gene 5
HGNC:5407	IFIT1	interferon induced protein with tetratricopeptide repeats 1	GARG-16	
HGNC:23442	IFIT1B	interferon induced protein with tetratricopeptide repeats 1B	bA149I23.6	
HGNC:5408	IFIT1P1	interferon induced protein with tetratricopeptide repeats 1 pseudogene 1	II56P	
HGNC:5409	IFIT2	interferon induced protein with tetratricopeptide repeats 2	IFI-54, ISG-54K, ISG-54, cig42, GARG-39	
HGNC:5411	IFIT3	interferon induced protein with tetratricopeptide repeats 3	ISG60, RIG-G, CIG-49, IFI60, GARG-49, IRG2	
HGNC:13328	IFIT5	interferon induced protein with tetratricopeptide repeats 5	RI58	retinoic acid- and interferon-inducible protein (58kD)
HGNC:38020	IFIT6P	interferon induced protein with tetratricopeptide repeats 6, pseudogene		
HGNC:5412	IFITM1	interferon induced transmembrane protein 1	9-27, CD225, DSPA2a	interferon-induced transmembrane protein 1, dispanin subfamily A member 2a
HGNC:5413	IFITM2	interferon induced transmembrane protein 2	1-8D, DSPA2c	dispanin subfamily A member 2c
HGNC:5414	IFITM3	interferon induced transmembrane protein 3	1-8U, DSPA2b	dispanin subfamily A member 2b
HGNC:54538	IFITM3P1	IFITM3 pseudogene 1		
HGNC:54539	IFITM3P2	IFITM3 pseudogene 2	DSPA2D	
HGNC:54541	IFITM3P3	IFITM3 pseudogene 3		
HGNC:54542	IFITM3P4	IFITM3 pseudogene 4		
HGNC:54543	IFITM3P5	IFITM3 pseudogene 5		
HGNC:54545	IFITM3P6	IFITM3P pseudogene 6		
HGNC:54546	IFITM3P7	IFITM3 pseudogene 7		
HGNC:54547	IFITM3P8	IFITM3 pseudogene 8		
HGNC:54548	IFITM3P9	IFITM3 pseudogene 9		
HGNC:21669	IFITM4P	interferon induced transmembrane protein 4 pseudogene	dJ377H14.5	
HGNC:16644	IFITM5	interferon induced transmembrane protein 5	fragilis4, Hrmp1, BRIL, DSPA1	dispanin subfamily A member 1
HGNC:32202	IFITM8P	interferon induced transmembrane protein 8 pseudogene		
HGNC:33972	IFITM9P	interferon induced transmembrane protein 9 pseudogene		
HGNC:40022	IFITM10	interferon induced transmembrane protein 10	DSPA3	dispanin subfamily A member 3
HGNC:5417	IFNA1	interferon alpha 1	IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD	IFN-alpha 1b, interferon alpha 1b
HGNC:5423	IFNA2	interferon alpha 2	IFNA, IFN-alphaA	alpha-2a interferon, interferon alpha 2b, interferon alpha A
HGNC:5425	IFNA4	interferon alpha 4	MGC142200, IFN-alpha4a	
HGNC:5426	IFNA5	interferon alpha 5	IFN-alphaG	
HGNC:5427	IFNA6	interferon alpha 6	IFN-alphaK	
HGNC:5428	IFNA7	interferon alpha 7	IFNA-J, IFN-alphaJ	
HGNC:5429	IFNA8	interferon alpha 8	IFN-alphaB	interferon alpha-B'', interferon alpha type 201
HGNC:5418	IFNA10	interferon alpha 10	IFN-alphaC	
HGNC:5442	IFNA11P	interferon alpha 11, pseudogene		
HGNC:5443	IFNA12P	interferon alpha 12, pseudogene		
HGNC:5419	IFNA13	interferon alpha 13		
HGNC:5420	IFNA14	interferon alpha 14	LEIF2H, IFN-alphaH	
HGNC:5421	IFNA16	interferon alpha 16	IFN-alphaO	
HGNC:5422	IFNA17	interferon alpha 17	LEIF2C1, IFN-alphaI	
HGNC:5444	IFNA20P	interferon alpha 20, pseudogene		
HGNC:5424	IFNA21	interferon alpha 21	IFN-alphaI	leukocyte interferon protein
HGNC:5431	IFNA22P	interferon alpha 22, pseudogene		
HGNC:5432	IFNAR1	interferon alpha and beta receptor subunit 1	IFRC	IFNalpha/beta receptor 1, type I interferon receptor 1, interferon alpha/beta receptor 1
HGNC:5433	IFNAR2	interferon alpha and beta receptor subunit 2		interferon alpha/beta receptor 2, IFNalpha/beta receptor subunit 2, type I interferon receptor 2
HGNC:5434	IFNB1	interferon beta 1	IFB, IFF	
HGNC:18163	IFNE	interferon epsilon	IFNE1	
HGNC:5438	IFNG	interferon gamma		
HGNC:43910	IFNG-AS1	IFNG antisense RNA 1	Tmevpg1, LincR-Ifng-3'AS, NEST	Theiler's murine encephalomyelitis virus persistence candidate gene 1
HGNC:5439	IFNGR1	interferon gamma receptor 1	CD119	
HGNC:5440	IFNGR2	interferon gamma receptor 2	AF-1	
HGNC:21714	IFNK	interferon kappa		
HGNC:18363	IFNL1	interferon lambda 1	IL-29	
HGNC:18364	IFNL2	interferon lambda 2	IL-28A	
HGNC:18365	IFNL3	interferon lambda 3	IL-28B, IL28C	
HGNC:44483	IFNL3P1	interferon lambda 3 pseudogene 1		
HGNC:44480	IFNL4	interferon lambda 4 (gene/pseudogene)	IFNAN	
HGNC:45090	IFNL4P1	interferon lambda 4 pseudogene 1		
HGNC:18584	IFNLR1	interferon lambda receptor 1	CRF2/12, IFNLR, IL-28R1	
HGNC:32009	IFNNP1	interferon nu 1, pseudogene		
HGNC:5447	IFNR	interferon production regulator		
HGNC:5448	IFNW1	interferon omega 1		IFN-omega 1, interferon omega-1
HGNC:5452	IFNWP2	interferon omega 1 pseudogene 2		
HGNC:5453	IFNWP4	interferon omega 1 pseudogene 4		
HGNC:5454	IFNWP5	interferon omega 1 pseudogene 5		
HGNC:5455	IFNWP9	interferon omega 1 pseudogene 9		
HGNC:5449	IFNWP15	interferon omega 1 pseudogene 15		
HGNC:5450	IFNWP18	interferon omega 1 pseudogene 18	pseudo-IFN-alpha-m	
HGNC:5451	IFNWP19	interferon omega 1 pseudogene 19		
HGNC:5456	IFRD1	interferon related developmental regulator 1	PC4, TIS7	
HGNC:5457	IFRD2	interferon related developmental regulator 2	SKMc15, SM15, IFNRP	interferon-related protein
HGNC:30989	IFT20	intraflagellar transport 20		
HGNC:21895	IFT22	intraflagellar transport 22	FLJ14117, FLJ13225, DKFZp761N0823, FAP9	
HGNC:18626	IFT27	intraflagellar transport 27	RAYL, BBS19, FAP156	
HGNC:29669	IFT43	intraflagellar transport 43	FLJ32173, MGC16028	
HGNC:26146	IFT46	intraflagellar transport 46	C11orf2, FLJ21827, CFAP32	cilia and flagella associated protein 32
HGNC:15901	IFT52	intraflagellar transport 52	CGI-53, NGD5, dJ1028D15.1, NGD2	
HGNC:17367	IFT57	intraflagellar transport 57	FLJ10147, HIPPI, MHS4R2	
HGNC:21424	IFT74	intraflagellar transport 74	CMG1, CMG-1, FLJ22621	capillary morphogenesis protein 1
HGNC:49806	IFT74-AS1	IFT74 antisense RNA 1		
HGNC:29262	IFT80	intraflagellar transport 80	KIAA1374, FAP167	
HGNC:14313	IFT81	intraflagellar transport 81	CDV-1R, MGC4027	
HGNC:20606	IFT88	intraflagellar transport 88	hTg737, Tg737, D13S1056E, MGC26259	polaris homolog
HGNC:13556	IFT122	intraflagellar transport 122	WDR140, WDR10p, SPG, FAP80	
HGNC:29077	IFT140	intraflagellar transport 140	gs114, KIAA0590	
HGNC:30391	IFT172	intraflagellar transport 172	SLB, wim, osm-1, NPHP17, BBS20	wimple homolog
HGNC:25142	IFTAP	intraflagellar transport associated protein	FLJ38678, HEPIS, NWC	
HGNC:5461	IGBP1	immunoglobulin binding protein 1	α4	alpha 4
HGNC:40295	IGBP1-AS1	IGBP1 antisense RNA 1		
HGNC:40294	IGBP1-AS2	IGBP1 antisense RNA 2		
HGNC:19709	IGBP1P1	immunoglobulin (CD79A) binding protein 1 pseudogene 1		
HGNC:43611	IGBP1P2	immunoglobulin (CD79A) binding protein 1 pseudogene 2		
HGNC:43612	IGBP1P3	immunoglobulin (CD79A) binding protein 1 pseudogene 3		
HGNC:43613	IGBP1P4	immunoglobulin (CD79A) binding protein 1 pseudogene 4		
HGNC:43614	IGBP1P5	immunoglobulin (CD79A) binding protein 1 pseudogene 5		
HGNC:9700	IGDCC3	immunoglobulin superfamily DCC subclass member 3	HsT18880	
HGNC:13770	IGDCC4	immunoglobulin superfamily DCC subclass member 4	NOPE, LOC57722	likely ortholog of mouse neighbor of Punc E11
HGNC:5464	IGF1	insulin like growth factor 1	IGF1A, IGFI, IGF-I, IGF	somatomedin C
HGNC:5465	IGF1R	insulin like growth factor 1 receptor	JTK13, CD221, IGFIR, MGC18216, IGFR	
HGNC:5466	IGF2	insulin like growth factor 2	FLJ44734, IGF-II	somatomedin A, preptin
HGNC:14062	IGF2-AS	IGF2 antisense RNA	PEG8, IGF2-AS1	insulin-like growth factor 2 antisense 1 (non-protein coding), IGF2 antisense RNA 1 (non-protein coding)
HGNC:28866	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1	IMP-1	IGF II mRNA binding protein 1
HGNC:28867	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	IMP-2, p62, P62	IGF II mRNA binding protein 2
HGNC:32674	IGF2BP2-AS1	IGF2BP2 antisense RNA 1	FLJ32900	
HGNC:28868	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	IMP-3, CT98, IMP3	IGF II mRNA binding protein 3, cancer/testis antigen 98
HGNC:5467	IGF2R	insulin like growth factor 2 receptor	CD222, MPRI, MPR1, CIMPR, M6P-R, CI-M6PR, CI-MPR, MPR300	cation-independent mannose-6 phosphate receptor
HGNC:5468	IGFALS	insulin like growth factor binding protein acid labile subunit	ALS	
HGNC:55655	IGFBP-AS1	IGFBP5 antisense RNA 1		
HGNC:5469	IGFBP1	insulin like growth factor binding protein 1	IGF-BP25, AFBP, hIGFBP-1, PP12	placental protein 12, amniotic fluid binding protein, alpha-pregnancy-associated endometrial globulin, growth hormone independent-binding protein, binding protein-28, binding protein-26, binding protein-25, IGF-binding protein 1
HGNC:5471	IGFBP2	insulin like growth factor binding protein 2		
HGNC:5472	IGFBP3	insulin like growth factor binding protein 3	IBP3, BP-53	growth hormone-dependent binding protein, acid stable subunit of the 140 K IGF complex, binding protein 53, binding protein 29, IGF-binding protein 3
HGNC:5473	IGFBP4	insulin like growth factor binding protein 4	IBP4, BP-4, HT29-IGFBP, IGFBP-4	IGF-binding protein 4
HGNC:5474	IGFBP5	insulin like growth factor binding protein 5		
HGNC:5475	IGFBP6	insulin like growth factor binding protein 6		
HGNC:5476	IGFBP7	insulin like growth factor binding protein 7	MAC25, IGFBP-7, PSF, FSTL2	
HGNC:40296	IGFBP7-AS1	IGFBP7 antisense RNA 1		
HGNC:20081	IGFBPL1	insulin like growth factor binding protein like 1	bA113O24.1	
HGNC:24093	IGFL1	IGF like family member 1	UNQ644	
HGNC:32956	IGFL1P1	IGF like family member 1 pseudogene 1	IGFL-5P	
HGNC:32957	IGFL1P2	IGF like family member 1 pseudogene 2	IGFL-6P	
HGNC:32929	IGFL2	IGF like family member 2	UNQ645	
HGNC:52559	IGFL2-AS1	IGFL2 antisense RNA 1	AC006262.5	
HGNC:32930	IGFL3	IGF like family member 3	UNQ483	
HGNC:32931	IGFL4	IGF like family member 4		
HGNC:23620	IGFLR1	IGF like family receptor 1	FLJ22573	
HGNC:24607	IGFN1	immunoglobulin like and fibronectin type III domain containing 1	DKFZp434B1231, EEF1A2BP1	
HGNC:5477	IGH	immunoglobulin heavy locus		
HGNC:5478	IGHA1	immunoglobulin heavy constant alpha 1		
HGNC:5479	IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)		
HGNC:5480	IGHD	immunoglobulin heavy constant delta	FLJ00382, FLJ46727, MGC29633	immunoglobulin delta, constant region of heavy chain of IgD
HGNC:5482	IGHD1-1	immunoglobulin heavy diversity 1-1	IGHD11	
HGNC:5486	IGHD1-7	immunoglobulin heavy diversity 1-7	DM1, IGHD17	
HGNC:5483	IGHD1-14	immunoglobulin heavy diversity 1-14 (non-functional)	IGHD114, DM2	
HGNC:5484	IGHD1-20	immunoglobulin heavy diversity 1-20	IGHD120	
HGNC:5485	IGHD1-26	immunoglobulin heavy diversity 1-26	IGHD126	
HGNC:5487	IGHD1OR15-1A	immunoglobulin heavy diversity 1/OR15-1A (non-functional)	IGHD1/OR15-1A, IGHD1OR151A	
HGNC:5488	IGHD1OR15-1B	immunoglobulin heavy diversity 1/OR15-1B (non-functional)	IGHD1/OR15-1B, IGHD1OR151B	
HGNC:5490	IGHD2-2	immunoglobulin heavy diversity 2-2	IGHD22	
HGNC:5492	IGHD2-8	immunoglobulin heavy diversity 2-8	IGHD28, DLR1	
HGNC:5489	IGHD2-15	immunoglobulin heavy diversity 2-15	IGHD215, D2	
HGNC:5491	IGHD2-21	immunoglobulin heavy diversity 2-21	IGHD221	
HGNC:5493	IGHD2OR15-2A	immunoglobulin heavy diversity 2/OR15-2A (non-functional)	IGHD2/OR15-2A, IGHD2OR152A	
HGNC:5494	IGHD2OR15-2B	immunoglobulin heavy diversity 2/OR15-2B (non-functional)	IGHD2/OR15-2B, IGHD2OR152B	
HGNC:5498	IGHD3-3	immunoglobulin heavy diversity 3-3	IGHD33, DXP4	
HGNC:5499	IGHD3-9	immunoglobulin heavy diversity 3-9	IGHD39, DXP1	
HGNC:5495	IGHD3-10	immunoglobulin heavy diversity 3-10	IGHD310, DXP'1	
HGNC:5496	IGHD3-16	immunoglobulin heavy diversity 3-16	IGHD316	
HGNC:5497	IGHD3-22	immunoglobulin heavy diversity 3-22	IGHD322	
HGNC:5500	IGHD3OR15-3A	immunoglobulin heavy diversity 3/OR15-3A (non-functional)	IGHD3/OR15-3A, IGHD3OR153A	
HGNC:5501	IGHD3OR15-3B	immunoglobulin heavy diversity 3/OR15-3B (non-functional)	IGHD3/OR15-3B, IGHD3OR153B	
HGNC:5505	IGHD4-4	immunoglobulin heavy diversity 4-4	IGHD44, DA4	
HGNC:5502	IGHD4-11	immunoglobulin heavy diversity 4-11 (non-functional)	IGHD411, DA1	
HGNC:5503	IGHD4-17	immunoglobulin heavy diversity 4-17	IGHD417	
HGNC:5504	IGHD4-23	immunoglobulin heavy diversity 4-23 (non-functional)	IGHD423	
HGNC:5506	IGHD4OR15-4A	immunoglobulin heavy diversity 4/OR15-4A (non-functional)	IGHD4/OR15-4A, IGHD4OR154A	
HGNC:5507	IGHD4OR15-4B	immunoglobulin heavy diversity 4/OR15-4B (non-functional)	IGHD4/OR15-4B, IGHD4OR154B	
HGNC:5511	IGHD5-5	immunoglobulin heavy diversity 5-5	IGHD55, DK4	
HGNC:5508	IGHD5-12	immunoglobulin heavy diversity 5-12	IGHD512, DK1	
HGNC:5509	IGHD5-18	immunoglobulin heavy diversity 5-18	IGHD518	
HGNC:5510	IGHD5-24	immunoglobulin heavy diversity 5-24 (non-functional)	IGHD524	
HGNC:5512	IGHD5OR15-5A	immunoglobulin heavy diversity 5/OR15-5A (non-functional)	IGHD5/OR15-5A, IGHD5OR155A	
HGNC:5513	IGHD5OR15-5B	immunoglobulin heavy diversity 5/OR15-5B (non-functional)	IGHD5/OR15-5B, IGHD5OR155B	
HGNC:5517	IGHD6-6	immunoglobulin heavy diversity 6-6	IGHD66, D(N4)	
HGNC:5514	IGHD6-13	immunoglobulin heavy diversity 6-13	IGHD613, DN1	
HGNC:5515	IGHD6-19	immunoglobulin heavy diversity 6-19	IGHD619	
HGNC:5516	IGHD6-25	immunoglobulin heavy diversity 6-25	IGHD625	
